Fecha, Servicio, Precio
2026-03-28, E-pick Prime, 8768
2026-03-28, E-pick Flex, 8956
2026-03-28, E-pick Route, 11060
2026-03-28, E-pick Extra Zona, 17465.48
2026-04-16, E-pick Prime, 9180
2026-04-16, E-pick Flex, 9377
2026-04-16, E-pick Route, 11580
2026-04-16, E-pick Extra Zona, 18670.27
2026-04-19, E-pick Prime, 9180
2026-04-19, E-pick Flex, 9377
2026-04-19, E-pick Route, 11580
2026-04-19, E-pick Extra Zona, 18670.27
2026-04-22, E-pick Prime, 9180
2026-04-22, E-pick Flex, 9377
2026-04-22, E-pick Route, 11580
2026-04-22, E-pick Extra Zona, 18670.27
2026-04-25, E-pick Prime, 9180
2026-04-25, E-pick Flex, 9377
2026-04-25, E-pick Route, 11580
2026-04-25, E-pick Extra Zona, 18670.27
2026-04-28, E-pick Prime, 9180
2026-04-28, E-pick Flex, 9377
2026-04-28, E-pick Route, 11580
2026-04-28, E-pick Extra Zona, 18670.27
